"GameDay","GameID","Player","PlayerID","PlayerCode","TeamID","Team","OpponentID","Opponent","Location","Division","Conference","Playoffs","WinOrLoss","Starter","PlayerType","PerfScore","MIN","PTS","FGM","FGA","3FM","3FA","FTM","FTA","REB","AST","STL","BLK","OREB","TO","PF"
"2011-12-25","26955","LeBron James","1871","lebron-james","16","Miami","23","Dallas","V","","Western","","W","Y","","18","36","37","11","19","0","0","15","19","10","6","2","2","3","3","3"
"2011-12-25","26955","Dwyane Wade","4001","dwyane-wade","16","Miami","23","Dallas","V","","Western","","W","Y","","12","34","26","11","21","0","0","4","6","8","6","1","1","1","5","4"
"2011-12-25","26955","Joel Anthony","105","joel-anthony","16","Miami","23","Dallas","V","","Western","","W","Y","","2","25","6","2","3","0","0","2","3","2","0","0","1","1","0","1"
"2011-12-25","26955","Mario Chalmers","641","mario-chalmers","16","Miami","23","Dallas","V","","Western","","W","Y","","4","24","3","1","1","0","0","1","1","1","4","4","0","0","2","3"
"2011-12-25","26955","Chris Bosh","373","chris-bosh","16","Miami","23","Dallas","V","","Western","","W","Y","","3","23","4","2","9","0","0","0","0","7","1","1","1","1","2","5"
"2011-12-25","26955","Udonis Haslem","1608","udonis-haslem","16","Miami","23","Dallas","V","","Western","","W","","","8","32","9","3","6","0","0","3","5","14","1","0","1","6","3","5"
"2011-12-25","26955","James Jones","1998","james-jones","16","Miami","23","Dallas","V","","Western","","W","","","3","18","9","3","6","3","5","0","1","2","0","0","0","0","2","2"
"2011-12-25","26955","Norris Cole","699","norris-cole","16","Miami","23","Dallas","V","","Western","","W","","","2","23","7","3","8","1","1","0","1","2","0","1","0","0","4","3"
"2011-12-25","26955","Juwan Howard","1771","juwan-howard","16","Miami","23","Dallas","V","","Western","","W","","","2","7","4","2","3","0","0","0","0","2","0","0","0","0","0","0"
"2011-12-25","26955","Shane Battier","226","shane-battier","16","Miami","23","Dallas","V","","Western","","W","","","0","4","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"2011-12-25","26955","Mickell Gladness","1365","mickell-gladness","16","Miami","23","Dallas","V","","Western","","W","","","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2011-12-25","26955","Dexter Pittman","3077","dexter-pittman","16","Miami","23","Dallas","V","","Western","","W","","","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"2011-12-25","26955","Terrel Harris","1597","terrel-harris","16","Miami","23","Dallas","V","","Western","","W","","","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2011-12-25","26955","Dirk Nowitzki","2865","dirk-nowitzki","23","Dallas","16","Miami","H","","Western","","L","Y","","8","29","21","6","15","0","0","9","10","5","3","0","0","1","2","4"
"2011-12-25","26955","Shawn Marion","2430","shawn-marion","23","Dallas","16","Miami","H","","Western","","L","Y","","6","29","12","6","10","0","0","0","0","6","3","0","0","2","3","3"
"2011-12-25","26955","Jason Kidd","2098","jason-kidd","23","Dallas","16","Miami","H","","Western","","L","Y","","4","27","9","2","5","2","5","3","3","0","3","2","0","0","2","2"
"2011-12-25","26955","Vince Carter","621","vince-carter","23","Dallas","16","Miami","H","","Western","","L","Y","","2","20","5","2","6","1","3","0","2","2","3","0","0","0","2","3"
"2011-12-25","26955","Brendan Haywood","1633","brendan-haywood","23","Dallas","16","Miami","H","","Western","","L","Y","","0","13","0","0","2","0","0","0","0","3","0","0","0","2","2","4"
"2011-12-25","26955","Jason Terry","3803","jason-terry","23","Dallas","16","Miami","H","","Western","","L","","","7","28","23","9","18","4","10","1","2","1","3","2","0","0","0","2"
"2011-12-25","26955","Delonte West","4115","delonte-west","23","Dallas","16","Miami","H","","Western","","L","","","4","24","10","3","7","1","3","3","3","0","3","3","0","0","0","0"
"2011-12-25","26955","Ian Mahinmi","2399","ian-mahinmi","23","Dallas","16","Miami","H","","Western","","L","","","1","15","2","1","3","0","0","0","1","4","0","0","0","1","0","4"
"2011-12-25","26955","Brian Cardinal","589","brian-cardinal","23","Dallas","16","Miami","H","","Western","","L","","","2","14","4","0","2","0","2","4","4","2","1","1","0","0","1","2"
"2011-12-25","26955","Lamar Odom","2898","lamar-odom","23","Dallas","16","Miami","H","","Western","","L","","","2","13","4","1","6","1","2","1","3","4","1","1","0","1","2","4"
"2011-12-25","26955","Brandan Wright","4316","brandan-wright","23","Dallas","16","Miami","H","","Western","","L","","","0","10","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
"2011-12-25","26955","Rodrigue Beaubois","251","rodrigue-beaubois","23","Dallas","16","Miami","H","","Western","","L","","","0","8","0","0","4","0","2","0","0","3","3","0","0","1","0","1"
"2011-12-25","26955","Dominique Jones","1988","dominique-jones","23","Dallas","16","Miami","H","","Western","","L","","","0","4","4","1","3","0","1","2","2","0","0","0","0","0","0","0"
"2011-12-25","26956","Chauncey Billups","304","chauncey-billups","11","L.A. Clippers","25","Golden State","V","","Western","","W","Y","","7","38","21","6","19","3","10","6","6","5","4","0","0","0","1","2"
"2011-12-25","26956","Chris Paul","2998","chris-paul","11","L.A. Clippers","25","Golden State","V","","Western","","W","Y","","10","36","20","7","12","1","3","5","6","2","9","2","0","1","2","4"
"2011-12-25","26956","Caron Butler","546","caron-butler","11","L.A. Clippers","25","Golden State","V","","Western","","W","Y","","8","36","11","4","10","1","3","2","3","10","4","3","0","0","0","0"
"2011-12-25","26956","Blake Griffin","1472","blake-griffin","11","L.A. Clippers","25","Golden State","V","","Western","","W","Y","","8","34","22","9","18","0","0","4","8","7","1","2","0","5","3","4"
"2011-12-25","26956","DeAndre Jordan","2026","deandre-jordan","11","L.A. Clippers","25","Golden State","V","","Western","","W","Y","","5","30","6","1","2","0","0","4","12","5","0","0","8","3","2","2"
"2011-12-25","26956","Mo Williams","4225","mo-williams","11","L.A. Clippers","25","Golden State","V","","Western","","W","","","4","22","8","4","8","0","1","0","0","3","3","2","0","0","1","1"
